id,L_m,W_m,H_m,weight_kg,fragile,stack_limit,can_rotate,drop_order,volume_m3
1,0.461,0.927,0.296,52.4,0,3,0,2,0.1265
2,1.024,0.616,0.539,120.0,0,1,1,2,0.3399
3,0.751,0.611,0.46,88.0,0,2,1,3,0.211
4,0.979,0.887,0.7,120.0,0,1,1,5,0.6076
5,1.182,0.31,0.406,73.6,0,2,1,5,0.149
6,0.831,0.865,0.47,120.0,0,1,1,2,0.3375
7,0.801,0.384,0.316,46.5,0,3,1,5,0.0972
8,0.458,0.546,0.527,63.6,0,2,1,4,0.1317
9,0.615,0.617,0.775,117.9,0,1,0,2,0.2943
10,0.8,0.61,0.396,94.2,0,1,1,3,0.1933
11,0.943,0.326,0.685,93.4,0,1,1,5,0.2104
12,1.043,0.506,0.34,88.6,0,2,1,3,0.1796
13,0.705,0.532,0.737,120.0,1,1,1,5,0.2764
14,0.453,0.922,0.532,106.0,0,1,1,4,0.2219
15,0.631,0.896,0.319,102.3,0,1,1,5,0.1803
16,1.128,0.68,0.68,120.0,0,1,1,5,0.5217
17,0.571,0.907,0.738,120.0,0,1,1,2,0.382
18,0.762,0.861,0.33,102.2,0,1,1,2,0.2164
19,1.145,0.544,0.315,92.8,0,1,0,2,0.196
20,0.42,0.376,0.388,40.9,0,3,0,2,0.0613
21,0.88,0.695,0.533,120.0,0,1,1,1,0.3261
22,1.16,0.51,0.773,120.0,0,1,1,1,0.457
23,0.584,0.306,0.723,58.9,0,3,1,4,0.1295
24,0.839,0.938,0.429,120.0,0,1,1,2,0.3371
25,1.127,0.93,0.27,120.0,0,1,1,5,0.2836
26,0.507,0.649,0.578,99.5,1,1,1,4,0.1899
27,0.819,0.702,0.566,120.0,1,1,1,2,0.3253
28,1.0,0.735,0.383,111.0,1,1,1,1,0.2814
29,0.935,0.902,0.582,120.0,0,1,1,1,0.4911
30,0.774,0.604,0.79,120.0,0,1,1,4,0.3693
31,0.564,0.679,0.329,69.1,0,2,0,3,0.1261
32,0.793,0.447,0.423,61.9,0,2,1,2,0.15
33,0.698,0.458,0.716,88.6,0,2,0,4,0.2288
34,0.782,0.639,0.338,99.0,1,1,1,3,0.1688
35,0.693,0.449,0.321,52.3,0,3,0,1,0.0998
36,1.07,0.32,0.345,48.5,0,3,1,1,0.1179
37,1.015,0.539,0.673,120.0,0,1,1,5,0.3687
38,0.651,0.787,0.32,86.9,0,2,1,2,0.1641
39,0.858,0.48,0.3,64.4,0,2,1,5,0.1236
40,0.621,0.861,0.595,120.0,0,1,1,3,0.3179
41,0.762,0.757,0.672,120.0,0,1,1,3,0.3874
42,0.682,0.725,0.666,120.0,0,1,1,5,0.3293
43,0.926,0.88,0.488,120.0,0,1,1,2,0.3978
