id,L_m,W_m,H_m,weight_kg,fragile,stack_limit,can_rotate,drop_order,volume_m3
1,0.55,0.7000000000000001,0.55,46.2,0,3,1,4,0.21175000000000005
2,0.65,0.75,0.45,75.8,0,2,1,3,0.21937500000000001
3,0.45,0.45,0.45,17.4,0,3,0,4,0.09112500000000001
4,0.6000000000000001,0.55,0.35000000000000003,11.2,0,4,1,4,0.11550000000000003
5,0.8500000000000001,0.5,0.45,42.1,0,3,1,5,0.19125000000000003
6,0.7000000000000001,0.4,0.45,29.1,0,3,1,3,0.12600000000000003
7,0.7000000000000001,0.7000000000000001,0.5,26.6,0,4,1,2,0.24500000000000005
8,0.9500000000000001,0.9,0.45,82.6,0,3,1,2,0.38475000000000004
9,1.05,0.75,0.45,80.8,0,3,1,3,0.35437500000000005
10,0.65,0.55,0.5,44.3,0,3,1,2,0.17875000000000002
11,1.1,0.7000000000000001,0.9,196.2,0,1,1,5,0.6930000000000002
12,0.55,0.8,0.35000000000000003,39.7,0,3,1,4,0.15400000000000003
13,0.8500000000000001,0.9500000000000001,0.55,52.6,0,4,1,1,0.4441250000000001
14,0.8500000000000001,0.35000000000000003,0.45,28.8,0,3,1,4,0.13387500000000002
15,1.1,0.8,0.45,89.0,0,3,1,3,0.3960000000000001
16,0.75,0.35000000000000003,0.35000000000000003,20.0,0,3,1,3,0.09187500000000001
17,1.3,0.8500000000000001,0.6000000000000001,187.7,0,1,1,4,0.6630000000000003
18,0.9500000000000001,0.55,0.35000000000000003,45.2,0,3,1,1,0.18287500000000004
19,1.1,0.75,0.55,49.3,1,4,0,3,0.4537500000000001
20,0.5,0.4,0.35000000000000003,17.7,0,3,1,5,0.07
21,0.9,0.4,0.45,16.8,1,4,0,4,0.16200000000000003
22,0.65,0.8500000000000001,0.35000000000000003,70.5,0,2,1,5,0.19337500000000005
23,1.05,0.6000000000000001,0.6000000000000001,41.0,0,4,0,1,0.3780000000000001
24,0.9,0.8500000000000001,0.5,41.4,0,4,1,3,0.38250000000000006
25,0.6000000000000001,0.9,0.35000000000000003,42.2,0,3,1,2,0.18900000000000006
26,0.6000000000000001,0.6000000000000001,0.35000000000000003,13.4,0,4,1,1,0.12600000000000006
27,0.5,0.5,0.35000000000000003,18.7,0,3,1,3,0.08750000000000001
28,0.8500000000000001,0.55,0.35000000000000003,17.7,0,4,1,2,0.16362500000000005
29,1.1,0.9500000000000001,0.45,171.0,0,2,1,3,0.47025000000000006
30,0.75,1.0,0.45,70.1,0,3,1,2,0.3375
31,0.75,0.8,0.5,63.0,0,3,1,1,0.30000000000000004
32,0.55,0.9,0.4,46.3,0,3,1,1,0.19800000000000004
33,0.65,0.65,0.35000000000000003,54.4,0,2,1,2,0.14787500000000003
34,1.05,0.9,0.45,94.0,0,3,1,3,0.42525
35,1.2000000000000002,0.75,0.45,87.7,0,3,1,4,0.4050000000000001
36,0.65,0.9500000000000001,0.55,75.0,0,3,1,1,0.33962500000000007
37,0.7000000000000001,0.55,0.35000000000000003,46.0,0,2,1,2,0.13475000000000004
38,0.9,0.65,0.9500000000000001,150.9,0,1,1,3,0.5557500000000001
39,0.7000000000000001,0.55,0.45,36.0,0,3,1,3,0.17325000000000004
40,1.0,0.35000000000000003,0.35000000000000003,26.4,0,3,1,2,0.12250000000000003
41,0.9,0.55,0.35000000000000003,37.0,0,3,1,4,0.17325000000000004
42,0.65,0.7000000000000001,0.35000000000000003,16.9,0,4,1,4,0.15925000000000003
43,1.0,0.8500000000000001,0.8,198.7,0,1,1,4,0.6800000000000002
44,0.9500000000000001,0.65,0.55,45.7,1,4,0,1,0.33962500000000007
45,0.9,0.7000000000000001,0.8,136.7,0,1,0,3,0.5040000000000001
46,0.9500000000000001,0.9500000000000001,0.35000000000000003,36.4,0,4,1,3,0.3158750000000001
47,1.0,0.65,0.75,140.4,0,1,1,3,0.48750000000000004
48,0.9500000000000001,1.0,0.65,172.5,0,1,1,5,0.6175
49,0.5,0.7000000000000001,0.55,19.4,0,4,1,1,0.19250000000000003
50,1.2000000000000002,0.9500000000000001,0.35000000000000003,93.3,0,3,1,4,0.39900000000000013
51,0.5,0.7000000000000001,0.45,36.4,0,3,1,5,0.15750000000000003
52,0.5,0.75,0.55,45.4,0,3,1,5,0.20625000000000002
53,1.0,0.65,0.55,129.7,0,2,1,3,0.35750000000000004
54,0.8,0.5,0.55,44.7,0,3,1,4,0.22000000000000003
55,0.9,0.9,0.9,214.0,0,1,1,2,0.7290000000000001
56,0.75,0.35000000000000003,0.4,22.3,0,3,1,4,0.10500000000000001
57,0.55,1.0,0.30000000000000004,34.2,0,3,1,5,0.16500000000000004
58,0.7000000000000001,1.0,0.55,136.5,0,2,1,3,0.38500000000000006
59,0.8500000000000001,0.8500000000000001,0.35000000000000003,28.3,0,4,1,4,0.25287500000000007
60,1.05,0.9,0.45,148.4,0,2,1,5,0.42525
61,1.05,0.9,0.5,49.3,0,4,1,2,0.47250000000000003
62,1.1,1.0,0.7000000000000001,218.8,0,1,1,4,0.7700000000000001
63,0.55,0.8,0.6000000000000001,22.6,1,4,1,5,0.26400000000000007
64,0.6000000000000001,0.8500000000000001,0.35000000000000003,42.3,0,3,0,3,0.17850000000000005
65,0.55,0.9500000000000001,0.45,28.9,0,4,1,2,0.23512500000000003
66,0.75,0.55,0.35000000000000003,12.4,0,4,1,1,0.14437500000000003
67,0.8500000000000001,0.55,0.55,58.7,0,3,1,5,0.25712500000000005
68,0.65,0.55,0.4,30.9,0,3,1,2,0.14300000000000002
69,0.7000000000000001,0.35000000000000003,0.35000000000000003,30.4,0,2,1,4,0.08575000000000002
70,0.9500000000000001,0.8500000000000001,0.65,146.7,0,1,1,2,0.5248750000000001
71,1.25,0.7000000000000001,0.8,190.2,0,1,1,3,0.7000000000000002
72,1.25,0.75,0.7000000000000001,173.5,0,1,1,4,0.6562500000000001
73,0.75,0.75,0.45,87.0,0,2,1,5,0.253125
74,0.8,0.9500000000000001,0.35000000000000003,56.9,0,3,1,4,0.26600000000000007
75,0.8500000000000001,0.8,0.35000000000000003,25.4,0,4,1,4,0.23800000000000007
76,0.7000000000000001,0.45,0.35000000000000003,25.2,0,3,0,2,0.11025000000000003
77,1.1,0.6000000000000001,0.45,62.4,0,3,1,5,0.2970000000000001
78,1.0,0.35000000000000003,0.55,41.1,0,3,0,4,0.19250000000000003
79,0.6000000000000001,0.8,0.35000000000000003,20.5,0,4,1,2,0.16800000000000004
80,0.9500000000000001,0.4,0.45,17.2,0,4,1,4,0.17100000000000004
81,0.5,0.9500000000000001,0.45,49.3,0,3,1,4,0.21375000000000002
82,1.1,0.35000000000000003,0.35000000000000003,31.5,0,3,1,2,0.13475000000000004
83,1.25,0.8,0.8500000000000001,241.6,0,1,1,4,0.8500000000000001
84,1.0,0.55,0.35000000000000003,26.0,0,4,1,5,0.19250000000000003
85,0.5,0.55,0.35000000000000003,9.8,0,4,1,4,0.09625000000000002
86,1.05,0.9,0.35000000000000003,77.6,0,3,1,4,0.33075000000000004
87,0.75,0.55,0.35000000000000003,17.4,0,4,1,1,0.14437500000000003
88,1.0,0.65,0.8500000000000001,158.2,0,1,1,1,0.5525000000000001
89,0.9500000000000001,0.7000000000000001,0.75,143.3,0,1,1,3,0.49875000000000014
90,1.05,0.75,0.55,46.3,0,4,1,2,0.4331250000000001
91,1.05,0.8,0.45,88.4,0,3,1,3,0.37800000000000006
92,1.0,0.35000000000000003,0.35000000000000003,28.5,0,3,0,2,0.12250000000000003
93,0.65,0.8,0.35000000000000003,21.3,0,4,0,5,0.18200000000000002
94,0.8,0.8,0.55,78.2,0,3,1,2,0.3520000000000001
95,0.7000000000000001,0.4,0.55,20.1,0,4,0,2,0.15400000000000003
96,1.0,0.45,0.55,94.3,0,2,0,3,0.24750000000000003
97,1.2000000000000002,0.35000000000000003,0.45,22.6,0,4,0,3,0.18900000000000006
98,0.75,0.75,0.35000000000000003,22.5,1,4,1,1,0.19687500000000002
99,0.9,0.8,0.45,39.3,1,4,1,2,0.32400000000000007
100,0.6000000000000001,0.5,0.45,31.6,0,3,1,2,0.13500000000000004
101,1.1,0.8500000000000001,0.35000000000000003,118.2,0,2,1,1,0.3272500000000001
102,0.5,0.35000000000000003,0.55,39.3,0,2,1,2,0.09625000000000002
103,0.5,0.9500000000000001,0.55,57.7,0,3,1,4,0.26125000000000004
104,1.1500000000000001,0.8500000000000001,0.45,91.6,0,3,1,4,0.4398750000000001
105,1.05,0.45,0.35000000000000003,33.4,0,3,1,5,0.16537500000000002
106,1.05,0.8,0.4,41.0,0,4,1,2,0.3360000000000001
107,0.7000000000000001,0.4,0.45,28.3,0,3,1,1,0.12600000000000003
108,0.9,0.8500000000000001,0.45,76.9,0,3,1,4,0.34425000000000006
109,0.5,0.9,0.5,90.4,0,2,1,5,0.225
110,0.8,0.9500000000000001,0.35000000000000003,60.5,0,3,1,4,0.26600000000000007
111,0.9500000000000001,0.9,0.35000000000000003,28.2,0,4,1,1,0.29925000000000007
112,0.8,0.8,0.45,62.9,0,3,1,1,0.2880000000000001
113,1.1500000000000001,0.45,0.55,58.8,0,3,1,5,0.2846250000000001
114,1.1,1.0,0.7000000000000001,237.8,0,1,1,5,0.7700000000000001
115,0.9,0.75,0.55,81.9,0,3,1,5,0.3712500000000001
116,0.8,0.45,0.55,45.9,0,3,1,4,0.19800000000000004
117,0.8,0.5,0.45,42.2,0,3,1,4,0.18000000000000002
118,1.1500000000000001,0.45,0.45,80.9,0,2,1,5,0.23287500000000003
119,0.8500000000000001,0.9500000000000001,0.55,167.6,0,2,0,3,0.4441250000000001
120,0.9,0.5,0.35000000000000003,34.5,0,3,1,4,0.15750000000000003
121,0.75,0.65,0.45,50.4,0,3,1,5,0.21937500000000001
122,1.2000000000000002,0.9,0.9,271.2,0,1,1,2,0.9720000000000003
123,0.8,0.8500000000000001,0.55,42.6,0,4,1,5,0.3740000000000001
124,0.5,0.7000000000000001,0.35000000000000003,23.0,0,3,1,1,0.12250000000000003
125,0.8500000000000001,0.65,0.4,43.7,0,3,1,5,0.22100000000000006
126,1.2000000000000002,0.8500000000000001,0.75,210.1,0,1,1,5,0.7650000000000001
127,0.8,0.75,0.45,28.2,0,4,1,4,0.2700000000000001
128,0.9,0.9,0.35000000000000003,62.7,0,3,1,3,0.28350000000000003
129,0.9500000000000001,0.35000000000000003,0.35000000000000003,10.1,0,4,1,2,0.11637500000000003
130,1.3,0.8500000000000001,0.8,236.9,0,1,1,5,0.8840000000000002
131,0.55,0.8500000000000001,0.35000000000000003,17.0,0,4,1,2,0.16362500000000005
132,0.65,1.0,0.55,122.3,0,2,1,4,0.35750000000000004
133,1.1500000000000001,0.5,0.45,63.3,0,3,1,4,0.25875000000000004
134,1.2000000000000002,0.65,0.8,156.1,0,1,1,2,0.6240000000000001
135,0.55,0.9,0.55,29.0,0,4,1,5,0.27225000000000005
136,0.5,0.7000000000000001,0.4,14.3,0,4,1,4,0.14
137,0.8,0.45,0.45,32.3,0,3,1,2,0.16200000000000003
138,0.9500000000000001,0.8,0.6000000000000001,95.6,0,3,1,5,0.4560000000000001
139,1.25,0.65,0.7000000000000001,156.3,0,1,1,1,0.5687500000000001
140,0.8,0.8,0.55,38.9,0,4,0,2,0.3520000000000001
141,0.8500000000000001,0.55,0.35000000000000003,34.3,0,3,0,2,0.16362500000000005
142,0.55,0.4,0.55,25.6,0,3,1,2,0.12100000000000002
143,0.6000000000000001,0.6000000000000001,0.45,36.8,0,3,1,3,0.16200000000000006
144,0.5,0.45,0.45,22.5,0,3,1,2,0.10125
145,1.1,0.8500000000000001,0.4,75.5,0,3,1,1,0.3740000000000001
146,1.2000000000000002,0.30000000000000004,0.35000000000000003,13.3,0,4,1,2,0.12600000000000006
147,0.7000000000000001,1.0,0.55,142.7,0,2,1,3,0.38500000000000006
148,1.0,0.75,0.45,32.3,0,4,1,4,0.3375
149,0.8,0.65,0.4,21.9,0,4,1,5,0.20800000000000002
150,0.6000000000000001,0.9500000000000001,0.55,31.1,0,4,1,3,0.3135000000000001
151,1.1500000000000001,0.35000000000000003,0.35000000000000003,16.6,0,4,1,1,0.14087500000000003
152,0.65,0.4,0.55,34.4,0,3,1,3,0.14300000000000002
153,1.2000000000000002,0.5,0.35000000000000003,22.3,0,4,1,4,0.21000000000000005
154,0.9500000000000001,0.55,0.30000000000000004,20.0,0,4,1,4,0.15675000000000006
155,0.5,0.55,0.45,17.2,0,4,0,2,0.12375000000000001
156,0.9,0.9500000000000001,0.45,84.5,0,3,1,3,0.38475000000000004
157,1.2000000000000002,1.0,0.8500000000000001,285.9,0,1,0,3,1.0200000000000002
158,0.7000000000000001,0.35000000000000003,0.35000000000000003,29.5,0,2,1,2,0.08575000000000002
159,1.0,0.35000000000000003,0.4,35.7,0,3,0,5,0.14
160,1.0,0.8500000000000001,0.7000000000000001,167.1,0,1,1,3,0.5950000000000001
161,1.2000000000000002,0.45,0.35000000000000003,20.8,0,4,1,5,0.18900000000000006
162,0.9500000000000001,0.9,0.35000000000000003,66.8,0,3,1,1,0.29925000000000007
163,0.75,0.9500000000000001,0.45,33.8,0,4,1,1,0.320625
164,1.1500000000000001,0.30000000000000004,0.55,40.2,0,3,1,4,0.18975000000000006
165,1.0,0.6000000000000001,0.55,73.0,0,3,1,2,0.33000000000000007
166,0.6000000000000001,0.8500000000000001,0.45,23.7,1,4,0,4,0.22950000000000007
167,1.1500000000000001,0.5,0.55,41.4,0,4,1,2,0.3162500000000001
168,0.8,1.0,0.45,131.2,0,2,1,3,0.36000000000000004
169,1.2000000000000002,0.45,0.35000000000000003,38.2,0,3,1,5,0.18900000000000006
170,1.1500000000000001,0.9500000000000001,0.7000000000000001,222.9,0,1,1,2,0.7647500000000003
171,0.75,0.55,0.55,49.4,0,3,1,4,0.22687500000000005
172,0.8500000000000001,0.35000000000000003,0.45,26.6,0,3,1,4,0.13387500000000002
173,1.1,0.4,0.35000000000000003,16.9,0,4,1,1,0.15400000000000003
174,1.1500000000000001,0.4,0.55,56.3,0,3,0,2,0.25300000000000006
175,1.05,0.45,0.45,68.6,0,2,1,2,0.212625
176,1.05,0.6000000000000001,0.55,84.4,0,3,0,5,0.3465000000000001
177,0.5,0.45,0.55,27.2,0,3,1,5,0.12375000000000001
178,0.75,0.8,0.4,27.2,0,4,1,3,0.24000000000000005
179,1.1500000000000001,0.45,0.45,24.0,0,4,1,2,0.23287500000000003
180,0.75,0.8500000000000001,0.55,36.1,0,4,1,3,0.3506250000000001
181,0.9,0.9,0.8500000000000001,197.6,0,1,1,2,0.6885000000000001
182,0.8,0.5,0.55,24.3,0,4,1,2,0.22000000000000003
183,1.2000000000000002,0.8,0.75,205.8,0,1,1,3,0.7200000000000002
184,0.9500000000000001,0.55,0.55,27.9,0,4,1,5,0.28737500000000005
185,0.7000000000000001,0.8,0.45,25.9,0,4,1,3,0.25200000000000006
186,0.5,1.0,0.45,23.8,0,4,1,1,0.225
187,1.2000000000000002,0.55,0.55,40.1,0,4,0,3,0.3630000000000001
188,0.7000000000000001,0.45,0.55,38.1,0,3,1,5,0.17325000000000004
189,1.1500000000000001,0.75,0.7000000000000001,163.7,0,1,1,5,0.6037500000000001
190,1.1,0.35000000000000003,0.4,41.2,0,3,0,3,0.15400000000000003
191,0.5,0.9500000000000001,0.30000000000000004,34.6,0,3,1,3,0.14250000000000004
192,0.6000000000000001,0.4,0.55,32.7,0,3,1,5,0.13200000000000003
193,0.65,0.4,0.4,23.9,0,3,1,5,0.10400000000000001
194,1.05,1.0,0.35000000000000003,41.1,0,4,1,2,0.36750000000000005
195,0.75,0.65,0.35000000000000003,16.4,0,4,1,4,0.17062500000000003
196,0.6000000000000001,0.5,0.45,31.6,0,3,1,3,0.13500000000000004
197,1.1,0.9500000000000001,0.9500000000000001,276.6,0,1,0,3,0.9927500000000002
198,0.9500000000000001,0.4,0.55,23.7,0,4,1,4,0.20900000000000005
199,1.1500000000000001,1.0,0.45,114.6,0,3,1,1,0.5175000000000001
200,0.8500000000000001,0.75,0.45,60.4,0,3,1,2,0.28687500000000005
201,0.8,0.35000000000000003,0.35000000000000003,10.4,0,4,1,4,0.09800000000000002
202,0.6000000000000001,0.35000000000000003,0.55,26.3,0,3,1,3,0.11550000000000003
