id,x,y,z,L,W,H,weight,drop_order,fragile,stack_limit
384.0,0.0,0.0,0.0,1.176,0.602,0.48,120.0,5,0,1
432.0,0.0,0.602,0.0,1.164,0.583,0.65,120.0,4,0,1
159.0,1.176,0.0,0.0,1.194,0.567,0.753,120.0,5,0,1
61.0,0.0,1.185,0.0,1.164,0.58,0.454,120.0,2,0,1
278.0,1.176,0.567,0.0,1.12,0.581,0.278,68.7,2,0,2
67.0,2.37,0.0,0.0,1.172,0.555,0.371,113.0,4,0,1
428.0,2.37,0.555,0.0,1.133,0.566,0.676,120.0,5,0,1
19.0,3.542,0.0,0.0,1.145,0.544,0.315,92.8,2,0,1
85.0,1.176,1.148,0.0,1.037,0.595,0.544,120.0,2,0,1
91.0,2.37,1.121,0.0,1.04,0.592,0.721,120.0,1,0,1
129.0,4.686999999999999,0.0,0.0,1.18,0.511,0.286,74.9,4,0,2
314.0,3.542,0.544,0.0,1.098,0.54,0.283,76.2,2,0,2
22.0,4.686999999999999,0.511,0.0,1.16,0.51,0.773,120.0,1,0,1
482.0,4.686999999999999,1.021,0.0,1.115,0.524,0.779,120.0,4,0,1
392.0,4.686999999999999,1.545,0.0,0.972,0.593,0.485,120.0,2,1,1
232.0,3.542,1.084,0.0,0.594,0.95,0.676,120.0,5,0,1
347.0,5.866999999999999,0.0,0.0,0.45,1.131,0.772,120.0,4,0,1
84.0,4.136,1.084,0.0,0.498,1.02,0.784,120.0,1,0,1
475.0,5.866999999999999,1.131,0.0,0.445,0.959,0.778,120.0,1,0,1
97.0,1.176,1.7429999999999999,0.0,1.037,0.399,0.79,120.0,5,0,1
248.0,2.37,1.713,0.0,1.003,0.412,0.357,61.0,4,0,2
158.0,0.0,1.7650000000000001,0.0,1.153,0.35,0.784,120.0,5,0,1
