id,x,y,z,L,W,H,weight,drop_order,fragile,stack_limit
263.0,0.0,0.0,0.0,0.875,0.511,0.426,21.0,5,0,1
1278.0,0.0,0.511,0.0,0.868,0.509,0.642,32.0,4,0,1
866.0,0.0,1.02,0.0,0.838,0.503,0.45,21.0,5,0,2
584.0,0.0,1.5230000000000001,0.0,0.803,0.513,0.595,17.0,5,0,2
1190.0,0.875,0.0,0.0,0.819,0.493,0.574,28.0,4,0,2
496.0,1.694,0.0,0.0,0.858,0.468,0.555,13.0,4,0,2
207.0,0.875,0.493,0.0,0.818,0.485,0.527,18.0,4,0,2
311.0,2.552,0.0,0.0,0.883,0.447,0.605,25.0,4,0,2
1549.0,0.875,0.978,0.0,0.796,0.492,0.517,14.0,4,0,2
482.0,1.694,0.468,0.0,0.849,0.457,0.51,18.0,5,0,2
92.0,1.694,0.925,0.0,0.844,0.458,0.333,11.0,5,0,1
375.0,2.552,0.447,0.0,0.868,0.432,0.434,19.0,5,0,1
906.0,0.875,1.47,0.0,0.744,0.501,0.343,11.0,5,0,2
1103.0,2.552,0.879,0.0,0.846,0.44,0.484,16.0,5,0,2
1275.0,3.435,0.0,0.0,0.89,0.416,0.607,27.0,4,0,2
1137.0,1.694,1.383,0.0,0.719,0.514,0.432,11.0,5,0,1
232.0,2.552,1.319,0.0,0.723,0.51,0.598,19.0,4,0,2
865.0,3.435,0.416,0.0,0.767,0.478,0.455,18.0,5,0,1
385.0,4.325,0.0,0.0,0.851,0.43,0.372,15.0,5,0,1
262.0,3.435,0.8939999999999999,0.0,0.713,0.512,0.368,13.0,5,0,2
1140.0,4.325,0.43,0.0,0.786,0.464,0.566,23.0,5,0,1
1226.0,5.176,0.0,0.0,0.806,0.451,0.569,14.0,4,0,1
688.0,4.325,0.894,0.0,0.402,0.878,0.611,28.0,4,0,2
1395.0,3.435,1.406,0.0,0.697,0.506,0.592,26.0,5,0,2
1082.0,5.176,0.451,0.0,0.691,0.51,0.317,14.0,5,0,2
891.0,5.176,0.9610000000000001,0.0,0.446,0.786,0.503,23.0,5,0,1
303.0,4.727,0.894,0.0,0.361,0.738,0.395,27.0,5,0,3
1376.0,5.982,0.0,0.0,0.324,0.716,0.313,12.0,5,0,3
153.0,5.982,0.716,0.0,0.324,0.671,0.44,23.0,5,0,2
1447.0,2.552,1.829,0.0,0.67,0.306,0.426,14.0,5,0,2
137.0,4.727,1.6320000000000001,0.0,0.36,0.499,0.477,18.0,5,0,3
35.0,5.982,1.387,0.0,0.317,0.545,0.402,10.0,5,0,2
501.0,5.176,1.747,0.0,0.428,0.391,0.388,5.0,5,0,1
1112.0,4.325,1.772,0.0,0.375,0.366,0.404,4.0,5,0,2
488.0,0.0,0.0,0.642,0.46,0.761,0.554,23.0,5,0,2
1418.0,0.0,0.761,0.642,0.409,0.853,0.495,15.0,4,0,1
1528.0,0.46,0.0,0.642,0.49,0.702,0.451,12.0,5,0,1
1377.0,0.46,0.702,0.642,0.428,0.8,0.362,10.0,5,0,1
350.0,0.0,0.0,1.1960000000000002,0.897,0.401,0.347,14.0,5,0,2
709.0,0.0,0.401,1.1960000000000002,0.859,0.412,0.547,25.0,5,0,2
159.0,0.0,0.0,1.7430000000000003,0.468,0.739,0.352,18.0,5,0,2
1148.0,0.468,0.0,1.7430000000000003,0.507,0.674,0.411,17.0,5,0,1
483.0,0.468,0.674,1.7430000000000003,0.485,0.595,0.394,6.0,5,0,2
