item_id,length_mm,width_mm,height_mm,weight_kg
ITEM_0001,302,234,445,21.04
ITEM_0002,635,289,446,43.22
ITEM_0003,470,617,556,52.31
ITEM_0004,306,314,554,47.89
ITEM_0005,271,395,495,7.18
ITEM_0006,220,700,569,31.43
ITEM_0007,814,692,331,10.77
ITEM_0008,321,274,150,18.31
ITEM_0009,666,612,520,59.27
ITEM_0010,414,575,580,12.84
ITEM_0011,530,619,458,32.44
ITEM_0012,658,476,286,39.0
ITEM_0013,287,593,351,43.64
ITEM_0014,572,656,585,35.78
ITEM_0015,299,391,462,5.54
ITEM_0016,863,298,266,22.96
ITEM_0017,330,747,393,33.47
ITEM_0018,861,295,686,9.83
ITEM_0019,508,389,224,24.28
ITEM_0020,543,236,535,6.83
ITEM_0021,691,568,359,9.32
ITEM_0022,613,724,624,26.83
ITEM_0023,585,478,567,12.3
ITEM_0024,391,416,496,36.21
ITEM_0025,476,472,678,42.92
ITEM_0026,360,261,328,49.03
ITEM_0027,659,795,331,16.01
ITEM_0028,513,541,174,14.21
ITEM_0029,221,596,329,10.75
ITEM_0030,452,218,650,40.0
ITEM_0031,760,376,310,43.86
ITEM_0032,674,595,326,6.74
ITEM_0033,258,644,434,56.49
ITEM_0034,710,432,212,7.86
ITEM_0035,881,275,305,34.77
ITEM_0036,675,464,618,44.0
ITEM_0037,899,654,198,52.9
ITEM_0038,389,583,233,44.27
ITEM_0039,886,763,510,49.1
ITEM_0040,762,705,297,23.67
ITEM_0041,766,566,491,49.82
ITEM_0042,443,343,625,9.41
ITEM_0043,704,268,212,54.21
ITEM_0044,330,298,509,35.12
ITEM_0045,684,595,476,49.95
ITEM_0046,846,224,290,29.88
ITEM_0047,220,668,364,40.4
ITEM_0048,366,683,584,33.95
ITEM_0049,473,764,467,45.24
ITEM_0050,587,350,181,9.49
ITEM_0051,800,343,434,8.32
ITEM_0052,515,768,454,18.59
ITEM_0053,213,238,578,13.77
ITEM_0054,441,308,626,52.95
ITEM_0055,545,241,435,17.06
ITEM_0056,764,385,293,58.67
ITEM_0057,539,597,573,23.53
ITEM_0058,291,422,168,15.02
ITEM_0059,566,332,167,48.43
ITEM_0060,654,362,520,41.23
ITEM_0061,627,414,324,32.4
ITEM_0062,708,434,343,35.54
ITEM_0063,234,787,651,44.56
ITEM_0064,405,208,262,17.57
ITEM_0065,280,273,263,59.8
ITEM_0066,761,691,371,58.61
ITEM_0067,587,452,413,40.77
ITEM_0068,201,429,204,15.97
ITEM_0069,589,718,607,42.41
ITEM_0070,765,373,311,8.97
ITEM_0071,305,367,529,6.69
ITEM_0072,676,369,236,19.17
ITEM_0073,601,592,204,30.44
ITEM_0074,755,393,625,52.75
ITEM_0075,361,716,327,44.99
ITEM_0076,401,228,540,45.85
ITEM_0077,469,364,498,28.4
ITEM_0078,470,621,157,24.03
ITEM_0079,655,538,462,25.41
ITEM_0080,661,695,592,59.32
ITEM_0081,451,564,477,7.21
ITEM_0082,495,541,203,52.69
ITEM_0083,537,699,388,36.83
ITEM_0084,252,710,378,29.12
ITEM_0085,416,526,200,44.89
ITEM_0086,387,416,413,31.77
ITEM_0087,579,500,567,53.04
ITEM_0088,692,331,245,54.54
ITEM_0089,240,269,237,28.19
ITEM_0090,356,451,227,20.23
ITEM_0091,214,614,437,37.58
ITEM_0092,264,644,269,55.18
ITEM_0093,720,381,640,16.59
ITEM_0094,543,366,601,39.26
ITEM_0095,328,290,649,39.74
ITEM_0096,847,730,314,45.32
ITEM_0097,671,238,331,12.24
ITEM_0098,262,325,618,44.37
ITEM_0099,338,650,156,55.0
ITEM_0100,698,372,479,14.88
ITEM_0101,792,419,300,18.06
ITEM_0102,591,257,234,58.43
ITEM_0103,874,675,296,14.95
ITEM_0104,618,655,530,51.99
ITEM_0105,488,560,697,32.08
ITEM_0106,578,200,434,18.6
ITEM_0107,689,586,231,52.89
ITEM_0108,430,547,663,29.49
ITEM_0109,240,389,672,33.31
ITEM_0110,227,704,535,24.76
ITEM_0111,334,390,620,37.61
ITEM_0112,400,707,268,13.99
ITEM_0113,232,568,545,26.51
ITEM_0114,247,608,681,58.32
ITEM_0115,702,316,410,19.2
ITEM_0116,606,333,405,41.12
ITEM_0117,773,257,375,22.89
ITEM_0118,298,755,202,47.54
ITEM_0119,883,372,649,12.2
ITEM_0120,746,348,655,58.34
ITEM_0121,812,279,513,29.96
ITEM_0122,661,412,429,17.98
ITEM_0123,842,402,307,9.04
ITEM_0124,204,428,208,14.34
ITEM_0125,417,426,277,33.59
ITEM_0126,702,731,264,23.54
ITEM_0127,597,640,358,50.59
ITEM_0128,592,601,675,28.7
ITEM_0129,406,246,670,18.68
