id,x,y,z,L,W,H,weight,drop_order,fragile,stack_limit
35.0,0.0,0.0,0.0,1.2000000000000002,0.75,0.45,87.7,4,0,3
208.0,1.2000000000000002,0.0,0.0,1.15,0.75,0.45,76.7,5,0,3
9.0,2.35,0.0,0.0,1.05,0.75,0.45,80.8,3,0,3
459.0,3.4000000000000004,0.0,0.0,1.05,0.75,0.4,76.1,3,0,3
295.0,4.45,0.0,0.0,1.05,0.75,0.45,41.9,3,0,4
216.0,0.0,1.1079999999999999,0.0,1.1,0.7000000000000001,0.35,64.6,4,0,3
30.0,1.1,1.1079999999999999,0.0,0.75,1.0,0.45,70.1,2,0,3
407.0,1.85,1.1079999999999999,0.0,0.75,1.0,0.35,59.3,4,0,3
148.0,2.6,1.1079999999999999,0.0,1.0,0.75,0.45,32.3,4,0,4
392.0,3.6,1.1079999999999999,0.0,1.15,0.65,0.35,50.5,5,0,3
262.0,4.75,1.1079999999999999,0.0,1.2000000000000002,0.6000000000000001,0.35,58.6,3,0,3
97.0,0.0,0.75,0.0,1.2000000000000002,0.35,0.45,22.6,3,0,4
413.0,0.0,0.0,0.45,1.1,0.65,0.45,74.4,4,0,3
214.0,1.1,0.0,0.45,0.75,0.95,0.45,72.6,2,0,3
147.0,1.85,0.0,0.45,1.0,0.7000000000000001,0.55,142.7,3,0,2
427.0,2.85,0.0,0.45,0.65,0.9,0.35,18.6,3,0,4
